datetime,symbol,open,high,low,close,volume
1999-01-01 03:45:00,NSE:BEL,0.22222156,0.22626195,0.22222156,0.22222156,207900.6212486
1999-01-04 03:45:00,NSE:BEL,0.22222156,0.23131244,0.22222156,0.2257569,168300.50291554
1999-01-05 03:45:00,NSE:BEL,0.21212058,0.22727205,0.21212058,0.22626195,247500.73958167
1999-01-06 03:45:00,NSE:BEL,0.23939323,0.24242352,0.23232254,0.24242352,326700.97624781
1999-01-07 03:45:00,NSE:BEL,0.24999925,0.26161538,0.24949421,0.26161538,376201.12416414
1999-01-08 03:45:00,NSE:BEL,0.26262548,0.26767597,0.2525245,0.2525245,544501.62707968
1999-01-11 03:45:00,NSE:BEL,0.2525245,0.26262548,0.24747401,0.24747401,811802.42582788
1999-01-12 03:45:00,NSE:BEL,0.24747401,0.24747401,0.23030233,0.23333264,336601.00583107
1999-01-13 03:45:00,NSE:BEL,0.24242352,0.24242352,0.22222156,0.22222156,742502.21874501
1999-01-14 03:45:00,NSE:BEL,0.2247468,0.22525184,0.21414078,0.21717107,396001.18333067
1999-01-15 03:45:00,NSE:BEL,0.21313068,0.21313068,0.20707009,0.20707009,673202.01166214
1999-01-18 03:45:00,NSE:BEL,0.21060543,0.21060543,0.19999939,0.2020196,752402.24832828
1999-01-19 03:45:00,NSE:BEL,0.20959533,0.20959533,0.1949489,0.19696911,475201.41999681
1999-01-21 03:45:00,NSE:BEL,0.20707009,0.20707009,0.18181764,0.18535298,1395904.17124062
1999-01-22 03:45:00,NSE:BEL,0.19393882,0.19595901,0.18282774,0.18434288,1415704.23040716
1999-01-25 03:45:00,NSE:BEL,0.18232268,0.18838328,0.17979743,0.18181764,2465107.36623344
1999-01-27 03:45:00,NSE:BEL,0.19191862,0.21111048,0.19191862,0.20454484,3593710.73872586
1999-01-28 03:45:00,NSE:BEL,0.21212058,0.21717107,0.19949435,0.20151456,1069203.19499282
1999-01-29 03:45:00,NSE:BEL,0.21111048,0.21111048,0.19343377,0.19696911,3692711.03455852
1999-02-01 03:45:00,NSE:BEL,0.19191862,0.2020196,0.18535298,0.18686813,435601.30166374
1999-02-02 03:45:00,NSE:BEL,0.18181764,0.18939337,0.17777725,0.1813126,999902.98790995
1999-02-03 03:45:00,NSE:BEL,0.18939337,0.19696911,0.18181764,0.18686813,4940114.76205014
1999-02-04 03:45:00,NSE:BEL,0.19141358,0.19444386,0.18383784,0.18383784,999902.98790995
1999-02-05 03:45:00,NSE:BEL,0.19040347,0.19191862,0.18232268,0.18232268,3583810.70914259
1999-02-08 03:45:00,NSE:BEL,0.18181764,0.18787823,0.18181764,0.18181764,485101.44958007
1999-02-09 03:45:00,NSE:BEL,0.18181764,0.18282774,0.1813126,0.18232268,3544210.59080952
1999-02-10 03:45:00,NSE:BEL,0.19191862,0.19191862,0.18232268,0.18636309,3623410.82747566
1999-02-11 03:45:00,NSE:BEL,0.18888833,0.23333264,0.18888833,0.21717107,27650782.62606423
1999-02-12 03:45:00,NSE:BEL,0.21666603,0.23484778,0.21666603,0.23484778,71042612.28952272
1999-02-15 03:45:00,NSE:BEL,0.25403964,0.25403964,0.24444372,0.25403964,45569836.17177718
1999-02-16 03:45:00,NSE:BEL,0.26919111,0.27474666,0.25808003,0.26262548,50222850.07591258
1999-02-17 03:45:00,NSE:BEL,0.27171636,0.28383754,0.26565576,0.28383754,31452393.98603869
1999-02-18 03:45:00,NSE:BEL,0.30656474,0.30656474,0.28535268,0.29292842,40223820.19681309
