datetime,symbol,open,high,low,close,volume
2000-01-11 09:15:00,NSE:HCLTECH,96.875,107.8125,93.25,97.153125,19075200.0
2000-01-12 09:15:00,NSE:HCLTECH,97.5,104.928125,97.5,104.928125,5517600.0
2000-01-13 09:15:00,NSE:HCLTECH,111.875,113.325,111.3125,113.325,848000.0
2000-01-14 09:15:00,NSE:HCLTECH,122.39375,122.39375,114.6875,122.39375,4335200.0
2000-01-17 09:15:00,NSE:HCLTECH,132.1875,132.1875,112.603125,112.603125,6860800.0
2000-01-18 09:15:00,NSE:HCLTECH,108.159375,113.4375,103.596875,110.90625,5758400.0
2000-01-19 09:15:00,NSE:HCLTECH,113.4375,118.0625,110.0,115.696875,5056800.0
2000-01-20 09:15:00,NSE:HCLTECH,116.5625,116.5625,109.375,109.865625,3275200.0
2000-01-21 09:15:00,NSE:HCLTECH,110.0625,113.4375,106.5625,111.334375,4514400.0
2000-01-24 09:15:00,NSE:HCLTECH,114.68125,120.24375,112.1875,120.24375,5258400.0
2000-01-25 09:15:00,NSE:HCLTECH,124.375,129.86563125,124.375,129.86563125,5016000.0
2000-01-27 09:15:00,NSE:HCLTECH,139.99374375,139.99374375,122.8125,130.03750625,5638400.0
2000-01-28 09:15:00,NSE:HCLTECH,131.25,140.3125,126.2625,137.309375,5772800.0
2000-01-31 09:15:00,NSE:HCLTECH,131.9375,137.5,126.325,126.9,3482400.0
2000-02-01 09:15:00,NSE:HCLTECH,123.825,136.25,123.825,135.140625,4176000.0
2000-02-02 09:15:00,NSE:HCLTECH,141.25,141.25,125.625,126.515625,5224800.0
2000-02-03 09:15:00,NSE:HCLTECH,129.6875,129.6875,119.7,122.28125,2812800.0
2000-02-04 09:15:00,NSE:HCLTECH,124.5625,129.0,122.8125,124.1625,2824000.0
2000-02-07 09:15:00,NSE:HCLTECH,124.0625,132.496875,122.503125,128.934375,4445600.0
2000-02-08 09:15:00,NSE:HCLTECH,128.08749375,128.75,123.125,124.95,3185600.0
2000-02-09 09:15:00,NSE:HCLTECH,131.25,131.25,123.4375,124.9375,2888000.0
2000-02-10 09:15:00,NSE:HCLTECH,123.540625,125.925,122.8125,124.796875,1229600.0
2000-02-11 09:15:00,NSE:HCLTECH,124.875,134.78125,124.5,134.78125,2658400.0
