datetime,symbol,open,high,low,close,volume
1995-02-09 03:45:00,NSE:BAJFINANCE,1.41999998,1.43699999,1.40200005,1.404,56300.0
1995-02-10 03:45:00,NSE:BAJFINANCE,1.33100004,1.36700001,1.33100004,1.36700001,33800.0
1995-02-13 03:45:00,NSE:BAJFINANCE,1.35799999,1.35799999,1.32200003,1.32200003,67600.0
1995-02-14 03:45:00,NSE:BAJFINANCE,1.33100004,1.33100004,1.31300001,1.31300001,56300.0
1995-02-15 03:45:00,NSE:BAJFINANCE,1.26899996,1.31300001,1.26899996,1.31300001,191500.0
1995-02-16 03:45:00,NSE:BAJFINANCE,1.304,1.34899998,1.304,1.34899998,202800.0
1995-02-20 03:45:00,NSE:BAJFINANCE,1.304,1.33100004,1.304,1.33100004,45000.0
1995-02-21 03:45:00,NSE:BAJFINANCE,1.296,1.296,1.24200001,1.24200001,123900.0
1995-02-22 03:45:00,NSE:BAJFINANCE,1.225,1.28699999,1.19799995,1.23800001,45000.0
1995-02-23 03:45:00,NSE:BAJFINANCE,1.24300003,1.29499998,1.24300003,1.28699999,90100.0
1995-02-24 03:45:00,NSE:BAJFINANCE,1.33100004,1.33100004,1.3,1.304,112600.0
1995-02-28 03:45:00,NSE:BAJFINANCE,1.28699999,1.28699999,1.27799997,1.28100004,169000.0
1995-03-01 03:45:00,NSE:BAJFINANCE,1.33100004,1.33100004,1.31800003,1.31800003,45000.0
1995-03-02 03:45:00,NSE:BAJFINANCE,1.31400003,1.36700001,1.31400003,1.34300003,1329800.0
1995-03-03 03:45:00,NSE:BAJFINANCE,1.35799999,1.41099997,1.35799999,1.41099997,45000.0
1995-03-06 03:45:00,NSE:BAJFINANCE,1.41999998,1.41999998,1.38400002,1.41999998,33800.0
1995-03-07 03:45:00,NSE:BAJFINANCE,1.39300003,1.39300003,1.375,1.375,101400.0
1995-03-08 03:45:00,NSE:BAJFINANCE,1.39300003,1.39300003,1.35299997,1.35299997,67600.0
1995-03-09 03:45:00,NSE:BAJFINANCE,1.35299997,1.36700001,1.35299997,1.36700001,56300.0
1995-03-10 03:45:00,NSE:BAJFINANCE,1.38400002,1.38400002,1.375,1.375,101400.0
1995-03-13 03:45:00,NSE:BAJFINANCE,1.35299997,1.35299997,1.34899998,1.34899998,78800.0
1995-03-14 03:45:00,NSE:BAJFINANCE,1.296,1.30900002,1.28800001,1.28800001,78800.0
1995-03-15 03:45:00,NSE:BAJFINANCE,1.375,1.375,1.30900002,1.34899998,304200.0
1995-03-16 03:45:00,NSE:BAJFINANCE,1.33100004,1.33100004,1.30900002,1.32700005,78800.0
1995-03-20 03:45:00,NSE:BAJFINANCE,1.25100002,1.26400003,1.25100002,1.26400003,22500.0
1995-03-21 03:45:00,NSE:BAJFINANCE,1.24200001,1.25100002,1.23299999,1.23299999,67600.0
1995-03-22 03:45:00,NSE:BAJFINANCE,1.24200001,1.28699999,1.24200001,1.28000002,78800.0
1995-03-23 03:45:00,NSE:BAJFINANCE,1.31300001,1.31300001,1.28000002,1.28199997,33800.0
1995-03-24 03:45:00,NSE:BAJFINANCE,1.26000004,1.26000004,1.24200001,1.24200001,56300.0
1995-03-27 03:45:00,NSE:BAJFINANCE,1.24200001,1.26899996,1.225,1.24300003,169000.0
1995-03-28 03:45:00,NSE:BAJFINANCE,1.26899996,1.27299995,1.24200001,1.25100002,259200.0
1995-03-29 03:45:00,NSE:BAJFINANCE,1.26000004,1.26000004,1.26000004,1.26000004,56300.0
1995-03-30 03:45:00,NSE:BAJFINANCE,1.27799997,1.27799997,1.24700003,1.24700003,33800.0
1995-03-31 03:45:00,NSE:BAJFINANCE,1.24200001,1.25100002,1.24200001,1.24700003,56300.0
1995-04-03 03:45:00,NSE:BAJFINANCE,1.27799997,1.27799997,1.25100002,1.26400003,112600.0
1995-04-04 03:45:00,NSE:BAJFINANCE,1.26400003,1.26899996,1.26000004,1.26899996,56300.0
1995-04-05 03:45:00,NSE:BAJFINANCE,1.271,1.296,1.271,1.28699999,90100.0
1995-04-06 03:45:00,NSE:BAJFINANCE,1.31300001,1.33100004,1.296,1.33100004,259200.0
1995-04-07 03:45:00,NSE:BAJFINANCE,1.33100004,1.34899998,1.304,1.34899998,112600.0
1995-04-10 03:45:00,NSE:BAJFINANCE,1.33100004,1.33100004,1.31300001,1.33100004,135200.0
1995-04-11 03:45:00,NSE:BAJFINANCE,1.31300001,1.33100004,1.31300001,1.33000002,112600.0
1995-04-12 03:45:00,NSE:BAJFINANCE,1.304,1.33100004,1.304,1.33100004,56300.0
1995-04-17 03:45:00,NSE:BAJFINANCE,1.33100004,1.35799999,1.33100004,1.33100004,45000.0
1995-04-18 03:45:00,NSE:BAJFINANCE,1.304,1.33100004,1.304,1.33100004,191500.0
1995-04-19 03:45:00,NSE:BAJFINANCE,1.30500002,1.30500002,1.27799997,1.28699999,67600.0
1995-04-20 03:45:00,NSE:BAJFINANCE,1.27299995,1.27299995,1.24200001,1.24200001,112600.0
1995-04-21 03:45:00,NSE:BAJFINANCE,1.24200001,1.27799997,1.24200001,1.27799997,135200.0
1995-04-24 03:45:00,NSE:BAJFINANCE,1.25100002,1.26000004,1.24200001,1.24200001,101400.0
1995-04-25 03:45:00,NSE:BAJFINANCE,1.225,1.225,1.154,1.18500004,123900.0
1995-04-26 03:45:00,NSE:BAJFINANCE,1.21999998,1.21999998,1.10900002,1.16199999,191500.0
1995-04-27 03:45:00,NSE:BAJFINANCE,1.171,1.171,1.154,1.154,101400.0
1995-04-28 03:45:00,NSE:BAJFINANCE,1.13100004,1.13100004,1.12200003,1.12200003,22500.0
1995-05-02 03:45:00,NSE:BAJFINANCE,1.10900002,1.12700005,1.10900002,1.11800003,112600.0
1995-05-03 03:45:00,NSE:BAJFINANCE,1.04700003,1.10900002,1.04700003,1.10699997,101400.0
1995-05-04 03:45:00,NSE:BAJFINANCE,1.10900002,1.154,1.10900002,1.154,67600.0
1995-05-05 03:45:00,NSE:BAJFINANCE,1.171,1.171,1.16199999,1.16199999,33800.0
1995-05-08 03:45:00,NSE:BAJFINANCE,1.13599997,1.19799995,1.13599997,1.19799995,90100.0
1995-05-09 03:45:00,NSE:BAJFINANCE,1.19300003,1.19799995,1.18000002,1.18000002,67600.0
1995-05-10 03:45:00,NSE:BAJFINANCE,1.18900003,1.21599999,1.18000002,1.21599999,78800.0
1995-05-12 03:45:00,NSE:BAJFINANCE,1.19799995,1.19799995,1.14899998,1.154,157700.0
1995-05-15 03:45:00,NSE:BAJFINANCE,1.154,1.154,1.10900002,1.10900002,33800.0
1995-05-16 03:45:00,NSE:BAJFINANCE,1.13599997,1.13599997,1.10900002,1.11800003,90100.0
1995-05-17 03:45:00,NSE:BAJFINANCE,1.154,1.154,1.11800003,1.12200003,33800.0
1995-05-18 03:45:00,NSE:BAJFINANCE,1.154,1.154,1.12700005,1.12700005,90100.0
1995-05-19 03:45:00,NSE:BAJFINANCE,1.13599997,1.13999996,1.13599997,1.13999996,33800.0
1995-05-22 03:45:00,NSE:BAJFINANCE,1.14499998,1.16199999,1.14499998,1.16199999,45000.0
1995-05-23 03:45:00,NSE:BAJFINANCE,1.13599997,1.13599997,1.11000004,1.12200003,78800.0
1995-05-24 03:45:00,NSE:BAJFINANCE,1.12700005,1.13599997,1.12200003,1.13599997,67600.0
1995-05-25 03:45:00,NSE:BAJFINANCE,1.11800003,1.12700005,1.11800003,1.12700005,33800.0
1995-05-26 03:45:00,NSE:BAJFINANCE,1.13599997,1.13599997,1.13599997,1.13599997,22500.0
1995-05-29 03:45:00,NSE:BAJFINANCE,1.12700005,1.12700005,1.12700005,1.12700005,22500.0
1995-05-30 03:45:00,NSE:BAJFINANCE,1.13999996,1.13999996,1.12700005,1.13999996,123900.0
1995-05-31 03:45:00,NSE:BAJFINANCE,1.10900002,1.154,1.10900002,1.154,45000.0
1995-06-01 03:45:00,NSE:BAJFINANCE,1.08299999,1.10900002,1.08299999,1.1,112600.0
1995-06-02 03:45:00,NSE:BAJFINANCE,1.09099999,1.10900002,1.08299999,1.10900002,101400.0
1995-06-05 03:45:00,NSE:BAJFINANCE,1.11800003,1.171,1.10900002,1.16999998,135200.0
1995-06-06 03:45:00,NSE:BAJFINANCE,1.154,1.225,1.13599997,1.21300001,214100.0
1995-06-07 03:45:00,NSE:BAJFINANCE,1.24300003,1.38400002,1.24300003,1.37299995,270400.0
1995-06-08 03:45:00,NSE:BAJFINANCE,1.31300001,1.35100002,1.31300001,1.35100002,101400.0
1995-06-09 03:45:00,NSE:BAJFINANCE,1.32200003,1.32200003,1.26899996,1.26899996,45000.0
1995-06-12 03:45:00,NSE:BAJFINANCE,1.27799997,1.28199997,1.22700005,1.22700005,112600.0
1995-06-13 03:45:00,NSE:BAJFINANCE,1.27799997,1.27799997,1.21300001,1.23299999,157700.0
1995-06-14 03:45:00,NSE:BAJFINANCE,1.23299999,1.23299999,1.19799995,1.19799995,45000.0
1995-06-15 03:45:00,NSE:BAJFINANCE,1.16199999,1.16199999,1.154,1.154,33800.0
1995-06-16 03:45:00,NSE:BAJFINANCE,1.154,1.17600002,1.154,1.16199999,78800.0
1995-06-19 03:45:00,NSE:BAJFINANCE,1.18699999,1.20699997,1.18699999,1.20699997,33800.0
1995-06-20 03:45:00,NSE:BAJFINANCE,1.21099997,1.225,1.19799995,1.19799995,112600.0
1995-06-21 03:45:00,NSE:BAJFINANCE,1.20699997,1.20699997,1.20699997,1.20699997,22500.0
1995-06-22 03:45:00,NSE:BAJFINANCE,1.20699997,1.20699997,1.20699997,1.20699997,45000.0
1995-06-23 03:45:00,NSE:BAJFINANCE,1.19899998,1.19899998,1.18000002,1.19799995,123900.0
1995-06-26 03:45:00,NSE:BAJFINANCE,1.24200001,1.24200001,1.11800003,1.11800003,33800.0
1995-06-27 03:45:00,NSE:BAJFINANCE,1.12700005,1.12700005,1.06499996,1.06499996,146500.0
1995-06-28 03:45:00,NSE:BAJFINANCE,1.06499996,1.10900002,1.04700003,1.10900002,135200.0
1995-06-29 03:45:00,NSE:BAJFINANCE,1.10900002,1.10900002,1.08299999,1.1,123900.0
1995-06-30 03:45:00,NSE:BAJFINANCE,1.1,1.1,1.08299999,1.1,123900.0
1995-07-03 03:45:00,NSE:BAJFINANCE,1.06499996,1.06499996,1.04700003,1.06400003,67600.0
1995-07-04 03:45:00,NSE:BAJFINANCE,1.04300003,1.04300003,0.99399996,1.01999998,202800.0
1995-07-05 03:45:00,NSE:BAJFINANCE,1.029,1.03699999,1.01199999,1.03699999,67600.0
1995-07-06 03:45:00,NSE:BAJFINANCE,0.97600002,1.00299997,0.97600002,1.00299997,112600.0
1995-07-07 03:45:00,NSE:BAJFINANCE,0.99399996,0.99399996,0.99399996,0.99399996,11200.0
1995-07-10 03:45:00,NSE:BAJFINANCE,1.029,1.05600004,1.01999998,1.05600004,157700.0
1995-07-11 03:45:00,NSE:BAJFINANCE,1.03400001,1.06499996,1.03400001,1.06499996,67600.0
1995-07-12 03:45:00,NSE:BAJFINANCE,1.08299999,1.10500002,1.07399998,1.07399998,112600.0
1995-07-13 03:45:00,NSE:BAJFINANCE,1.1,1.13599997,1.1,1.13599997,22500.0
1995-07-14 03:45:00,NSE:BAJFINANCE,1.13599997,1.154,1.13599997,1.14499998,146500.0
1995-07-17 03:45:00,NSE:BAJFINANCE,1.18500004,1.25100002,1.18500004,1.25100002,191500.0
1995-07-18 03:45:00,NSE:BAJFINANCE,1.27799997,1.27799997,1.24200001,1.24200001,135200.0
1995-07-19 03:45:00,NSE:BAJFINANCE,1.24200001,1.24200001,1.20699997,1.24099999,78800.0
