account_value,date
10000.0,2021-02-05
10197.888250000002,2021-02-08
10211.888250000002,2021-02-09
10148.538250000001,2021-02-10
10121.588250000003,2021-02-11
10241.638250000002,2021-02-12
10240.588250000003,2021-02-15
10105.838250000003,2021-02-16
10042.138250000002,2021-02-17
10120.188250000001,2021-02-18
10112.138250000002,2021-02-19
9929.438250000001,2021-02-22
9937.48825,2021-02-23
9993.138250000002,2021-02-24
9994.888250000002,2021-02-25
9846.138250000002,2021-02-26
9942.038250000001,2021-03-01
10204.538250000001,2021-03-02
10181.709500000003,2021-03-03
10181.709500000003,2021-03-04
10181.709500000003,2021-03-05
10181.709500000003,2021-03-08
10181.709500000003,2021-03-09
10181.709500000003,2021-03-10
10181.709500000003,2021-03-12
10181.709500000003,2021-03-15
10181.709500000003,2021-03-16
10181.709500000003,2021-03-17
10181.709500000003,2021-03-18
10181.709500000003,2021-03-19
10181.709500000003,2021-03-22
10181.709500000003,2021-03-23
10181.709500000003,2021-03-24
10018.368875000004,2021-03-25
10035.168875000003,2021-03-26
10378.868875000004,2021-03-30
10354.626125000004,2021-03-31
10450.735250000003,2021-04-01
10426.494250000003,2021-04-05
10426.494250000003,2021-04-06
10426.494250000003,2021-04-07
10426.494250000003,2021-04-08
10426.494250000003,2021-04-09
10426.494250000003,2021-04-12
10426.494250000003,2021-04-13
10426.494250000003,2021-04-15
10353.681125000005,2021-04-16
10415.281125000005,2021-04-19
10336.881125000004,2021-04-20
10335.131125000004,2021-04-22
10214.031125000005,2021-04-23
10282.281125000005,2021-04-26
10316.931125000005,2021-04-27
10369.431125000005,2021-04-28
10371.881125000004,2021-04-29
10357.881125000004,2021-04-30
10341.781125000005,2021-05-03
10183.231125000006,2021-05-04
10267.931125000005,2021-05-05
10408.631125000004,2021-05-06
10345.281125000005,2021-05-07
10254.281125000005,2021-05-10
10191.981125000006,2021-05-11
10166.431125000005,2021-05-12
10092.231125000006,2021-05-14
10183.231125000006,2021-05-17
10257.431125000005,2021-05-18
10236.431125000005,2021-05-19
10252.531125000005,2021-05-20
10358.931125000005,2021-05-21
10313.781125000005,2021-05-24
10408.631125000004,2021-05-25
10384.803125000004,2021-05-26
10384.803125000004,2021-05-27
10384.803125000004,2021-05-28
10384.803125000004,2021-05-31
10384.803125000004,2021-06-01
10384.803125000004,2021-06-02
10384.803125000004,2021-06-03
10384.803125000004,2021-06-04
10384.803125000004,2021-06-07
10384.803125000004,2021-06-08
10384.803125000004,2021-06-09
10384.803125000004,2021-06-10
10384.803125000004,2021-06-11
10384.803125000004,2021-06-14
10384.803125000004,2021-06-15
10384.803125000004,2021-06-16
10384.803125000004,2021-06-17
10384.803125000004,2021-06-18
10384.803125000004,2021-06-21
10384.803125000004,2021-06-22
10384.803125000004,2021-06-23
10384.803125000004,2021-06-24
10384.803125000004,2021-06-25
10384.803125000004,2021-06-28
10384.803125000004,2021-06-29
10384.803125000004,2021-06-30
10384.803125000004,2021-07-01
10384.803125000004,2021-07-02
10384.803125000004,2021-07-05
10384.803125000004,2021-07-06
10384.803125000004,2021-07-07
10384.803125000004,2021-07-08
10374.291875000006,2021-07-09
10283.991875000003,2021-07-12
10266.591875000006,2021-07-13
10458.291875000006,2021-07-14
10481.691875000004,2021-07-15
10329.591875000006,2021-07-16
10247.091875000006,2021-07-19
10297.191875000004,2021-07-20
10538.091875000006,2021-07-22
10514.238875000006,2021-07-23
10514.238875000006,2021-07-26
10514.238875000006,2021-07-27
10514.238875000006,2021-07-28
10514.238875000006,2021-07-29
10514.238875000006,2021-07-30
10514.238875000006,2021-08-02
10514.238875000006,2021-08-03
10514.238875000006,2021-08-04
10514.238875000006,2021-08-05
10514.238875000006,2021-08-06
10514.238875000006,2021-08-09
10514.238875000006,2021-08-10
10514.238875000006,2021-08-11
10514.238875000006,2021-08-12
10514.238875000006,2021-08-13
10514.238875000006,2021-08-16
10514.238875000006,2021-08-17
10514.238875000006,2021-08-18
10514.238875000006,2021-08-20
10514.238875000006,2021-08-23
10514.238875000006,2021-08-24
10514.238875000006,2021-08-25
10514.238875000006,2021-08-26
10514.238875000006,2021-08-27
10424.106875000007,2021-08-30
10474.506875000008,2021-08-31
10302.306875000007,2021-09-01
10370.406875000006,2021-09-02
10439.706875000009,2021-09-03
10618.206875000009,2021-09-06
10475.706875000009,2021-09-07
10395.306875000007,2021-09-08
10385.406875000006,2021-09-09
10387.206875000009,2021-09-13
10352.706875000009,2021-09-14
10504.506875000008,2021-09-15
10449.306875000007,2021-09-16
10383.606875000007,2021-09-17
10362.906875000006,2021-09-20
10546.506875000008,2021-09-21
10520.73012500001,2021-09-22
10520.73012500001,2021-09-23
10520.73012500001,2021-09-24
10520.73012500001,2021-09-27
10520.73012500001,2021-09-28
10526.323625000012,2021-09-29
10424.023625000013,2021-09-30
10363.723625000013,2021-10-01
10445.323625000012,2021-10-04
10529.623625000011,2021-10-05
10414.123625000011,2021-10-06
10518.823625000012,2021-10-07
10715.92362500001,2021-10-08
10690.065875000011,2021-10-11
10690.065875000011,2021-10-12
10809.088625000011,2021-10-13
10783.450625000012,2021-10-14
10783.450625000012,2021-10-18
10783.450625000012,2021-10-19
10783.450625000012,2021-10-20
10783.450625000012,2021-10-21
10783.450625000012,2021-10-22
10684.153625000014,2021-10-25
10661.053625000015,2021-10-26
10812.553625000015,2021-10-27
10662.253625000016,2021-10-28
10445.353625000014,2021-10-29
10639.153625000014,2021-11-01
10626.253625000016,2021-11-02
10653.853625000014,2021-11-03
10691.053625000015,2021-11-04
10863.853625000014,2021-11-08
10893.853625000014,2021-11-09
10879.753625000016,2021-11-10
10851.151750000014,2021-11-11
11110.885500000015,2021-11-12
11084.182500000015,2021-11-15
11084.182500000015,2021-11-16
11084.182500000015,2021-11-17
11084.182500000015,2021-11-18
11084.182500000015,2021-11-22
11084.182500000015,2021-11-23
10812.729000000014,2021-11-24
10971.129000000015,2021-11-25
10786.629000000015,2021-11-26
10814.829000000012,2021-11-29
10912.629000000015,2021-11-30
10926.129000000015,2021-12-01
11126.229000000014,2021-12-02
11050.029000000013,2021-12-03
10808.529000000013,2021-12-06
10906.629000000015,2021-12-07
11156.829000000012,2021-12-08
11130.528750000012,2021-12-09
11130.528750000012,2021-12-10
11130.528750000012,2021-12-13
11130.528750000012,2021-12-14
11130.528750000012,2021-12-15
11328.915750000011,2021-12-16
11302.341750000012,2021-12-17
11302.341750000012,2021-12-20
11302.341750000012,2021-12-21
11302.341750000012,2021-12-22
11302.341750000012,2021-12-23
11302.341750000012,2021-12-24
11302.341750000012,2021-12-27
11302.341750000012,2021-12-28
11302.341750000012,2021-12-29
11302.341750000012,2021-12-30
11302.341750000012,2021-12-31
11302.341750000012,2022-01-03
11302.341750000012,2022-01-04
11302.341750000012,2022-01-05
11145.033625000013,2022-01-06
11119.489125000013,2022-01-07
11338.189125000014,2022-01-10
11367.289125000012,2022-01-11
11498.389125000014,2022-01-12
11614.489125000013,2022-01-13
11586.037125000013,2022-01-14
11586.037125000013,2022-01-17
11586.037125000013,2022-01-18
11586.037125000013,2022-01-19
11297.931375000015,2022-01-20
11069.931375000015,2022-01-21
10776.531375000013,2022-01-24
10688.631375000015,2022-01-25
10427.331375000012,2022-01-27
10472.931375000015,2022-01-28
10772.931375000015,2022-01-31
10988.031375000013,2022-02-01
11078.331375000012,2022-02-02
10787.031375000013,2022-02-03
10802.331375000012,2022-02-04
10645.731375000014,2022-02-07
10659.531375000013,2022-02-08
10779.531375000013,2022-02-09
10973.331375000012,2022-02-10
10683.831375000012,2022-02-11
10448.931375000015,2022-02-14
10785.231375000014,2022-02-15
10755.531375000013,2022-02-16
10704.531375000013,2022-02-17
10597.431375000015,2022-02-18
10739.931375000015,2022-02-21
10761.831375000012,2022-02-22
10735.816125000014,2022-02-23
10735.816125000014,2022-02-24
10748.070750000014,2022-02-25
10743.834250000013,2022-02-28
10743.834250000013,2022-03-02
10743.834250000013,2022-03-03
10743.834250000013,2022-03-04
10743.834250000013,2022-03-07
10743.834250000013,2022-03-08
10743.834250000013,2022-03-09
10743.834250000013,2022-03-10
10743.834250000013,2022-03-11
10743.834250000013,2022-03-14
10743.834250000013,2022-03-15
10743.834250000013,2022-03-16
10743.834250000013,2022-03-17
10743.834250000013,2022-03-21
10743.834250000013,2022-03-22
10743.834250000013,2022-03-23
10743.834250000013,2022-03-24
10743.834250000013,2022-03-25
10743.834250000013,2022-03-28
10743.834250000013,2022-03-29
10743.834250000013,2022-03-30
10743.834250000013,2022-03-31
10743.834250000013,2022-04-01
10743.834250000013,2022-04-04
10611.047375000013,2022-04-05
10449.797375000013,2022-04-06
10360.547375000013,2022-04-07
10378.547375000013,2022-04-08
10138.297375000013,2022-04-11
10017.797375000013,2022-04-12
10048.297375000013,2022-04-13
9412.547375000013,2022-04-18
9115.547375000013,2022-04-19
9244.047375000013,2022-04-20
9399.547375000013,2022-04-21
9232.797375000013,2022-04-22
9111.047375000013,2022-04-25
9210.547375000013,2022-04-26
9069.547375000013,2022-04-27
9218.547375000013,2022-04-28
9143.297375000013,2022-04-29
9010.547375000013,2022-05-02
8983.297375000013,2022-05-04
9231.297375000013,2022-05-05
9019.797375000013,2022-05-06
9157.297375000013,2022-05-09
9070.547375000013,2022-05-10
8939.297375000013,2022-05-11
8849.547375000013,2022-05-12
8827.547375000013,2022-05-13
8751.047375000013,2022-05-16
8897.797375000013,2022-05-17
8851.547375000013,2022-05-18
8441.297375000013,2022-05-19
8581.297375000013,2022-05-20
8647.547375000013,2022-05-23
8510.547375000013,2022-05-24
8357.797375000013,2022-05-25
8425.297375000013,2022-05-26
8612.297375000013,2022-05-27
8939.547375000013,2022-05-30
8823.547375000013,2022-05-31
8804.752375000015,2022-06-01
8804.752375000015,2022-06-02
8804.752375000015,2022-06-03
8804.752375000015,2022-06-06
8804.752375000015,2022-06-07
8804.752375000015,2022-06-08
8804.752375000015,2022-06-09
8804.752375000015,2022-06-10
8804.752375000015,2022-06-13
8879.684875000014,2022-06-14
8769.584875000015,2022-06-15
8619.584875000015,2022-06-16
8560.184875000014,2022-06-17
8721.284875000016,2022-06-20
8935.784875000016,2022-06-21
8859.884875000014,2022-06-22
8951.084875000015,2022-06-23
8882.984875000013,2022-06-24
9083.984875000013,2022-06-27
9061.865875000014,2022-06-28
9061.865875000014,2022-06-29
9061.865875000014,2022-06-30
9061.865875000014,2022-07-01
9061.865875000014,2022-07-04
9061.865875000014,2022-07-05
9061.865875000014,2022-07-06
9061.865875000014,2022-07-07
9061.865875000014,2022-07-08
9061.865875000014,2022-07-11
9061.865875000014,2022-07-12
9075.386875000017,2022-07-13
8981.786875000014,2022-07-14
8990.786875000014,2022-07-15
9348.086875000017,2022-07-18
9325.738375000017,2022-07-19
9325.738375000017,2022-07-20
9325.738375000017,2022-07-21
9325.738375000017,2022-07-22
9325.738375000017,2022-07-25
9325.738375000017,2022-07-26
9423.371125000016,2022-07-27
9701.471125000018,2022-07-28
9678.710125000018,2022-07-29
9678.710125000018,2022-08-01
9678.710125000018,2022-08-02
9678.710125000018,2022-08-03
9678.710125000018,2022-08-04
9678.710125000018,2022-08-05
9678.710125000018,2022-08-08
9678.710125000018,2022-08-10
9678.710125000018,2022-08-11
9678.710125000018,2022-08-12
9678.710125000018,2022-08-16
9678.710125000018,2022-08-17
9678.710125000018,2022-08-18
9739.865875000016,2022-08-19
9611.165875000019,2022-08-22
9411.665875000019,2022-08-23
9382.265875000017,2022-08-24
9266.165875000019,2022-08-25
9286.565875000017,2022-08-26
8927.765875000017,2022-08-29
9114.965875000018,2022-08-30
8942.465875000018,2022-09-01
8875.265875000017,2022-09-02
8925.065875000017,2022-09-05
8887.865875000016,2022-09-06
8903.165875000019,2022-09-07
9012.665875000019,2022-09-08
9227.165875000019,2022-09-09
9374.465875000018,2022-09-12
9426.965875000018,2022-09-13
9403.791625000018,2022-09-14
9126.060625000016,2022-09-15
8791.560625000016,2022-09-16
8871.060625000016,2022-09-19
8860.560625000016,2022-09-20
8792.760625000017,2022-09-21
8736.960625000018,2022-09-22
8721.960625000018,2022-09-23
8810.760625000017,2022-09-26
8890.560625000016,2022-09-27
8897.460625000018,2022-09-28
8921.160625000019,2022-09-29
9009.960625000018,2022-09-30
8891.760625000017,2022-10-03
9105.660625000019,2022-10-04
9260.160625000019,2022-10-06
9238.333375000018,2022-10-07
9238.333375000018,2022-10-10
9238.333375000018,2022-10-11
9238.333375000018,2022-10-12
9238.333375000018,2022-10-13
9238.333375000018,2022-10-14
9238.333375000018,2022-10-17
9238.333375000018,2022-10-18
9238.333375000018,2022-10-19
9238.333375000018,2022-10-20
9238.333375000018,2022-10-21
9238.333375000018,2022-10-24
9238.333375000018,2022-10-25
9238.333375000018,2022-10-27
9238.333375000018,2022-10-28
9238.333375000018,2022-10-31
9238.333375000018,2022-11-01
9238.333375000018,2022-11-02
9238.333375000018,2022-11-03
9238.333375000018,2022-11-04
9176.32337500002,2022-11-07
9198.82337500002,2022-11-09
9143.32337500002,2022-11-10
9552.223375000018,2022-11-11
9528.671875000018,2022-11-14
9528.671875000018,2022-11-15
9528.671875000018,2022-11-16
9528.671875000018,2022-11-17
9528.671875000018,2022-11-18
9528.671875000018,2022-11-21
9528.671875000018,2022-11-22
9528.671875000018,2022-11-23
9528.671875000018,2022-11-24
9528.671875000018,2022-11-25
9528.671875000018,2022-11-28
9528.671875000018,2022-11-29
9528.671875000018,2022-11-30
9528.671875000018,2022-12-01
9528.671875000018,2022-12-02
9528.671875000018,2022-12-05
9528.671875000018,2022-12-06
9471.510625000019,2022-12-07
9544.760625000019,2022-12-08
9290.510625000019,2022-12-09
9180.010625000019,2022-12-12
9304.760625000019,2022-12-13
9341.010625000019,2022-12-14
9146.510625000019,2022-12-15
9055.010625000019,2022-12-16
8980.760625000019,2022-12-19
8980.510625000019,2022-12-20
8991.760625000019,2022-12-21
9054.260625000019,2022-12-22
8929.510625000019,2022-12-23
8956.010625000019,2022-12-26
9018.260625000019,2022-12-27
8994.760625000019,2022-12-28
9031.760625000019,2022-12-29
8985.010625000019,2022-12-30
9064.010625000019,2023-01-02
9056.760625000019,2023-01-03
8918.010625000019,2023-01-04
8820.010625000019,2023-01-05
8686.510625000019,2023-01-06
8866.260625000019,2023-01-09
8792.760625000019,2023-01-10
8800.260625000019,2023-01-11
8847.010625000019,2023-01-12
8962.260625000019,2023-01-13
9071.510625000019,2023-01-16
9052.441875000019,2023-01-17
9052.441875000019,2023-01-18
9052.441875000019,2023-01-19
9052.441875000019,2023-01-20
9052.441875000019,2023-01-23
9052.441875000019,2023-01-24
9052.441875000019,2023-01-25
9052.441875000019,2023-01-27
9052.441875000019,2023-01-30
9052.441875000019,2023-01-31
9052.441875000019,2023-02-01
9052.441875000019,2023-02-02
9052.441875000019,2023-02-03
9052.441875000019,2023-02-06
9052.441875000019,2023-02-07
9052.441875000019,2023-02-08
9052.441875000019,2023-02-09
9052.441875000019,2023-02-10
9052.441875000019,2023-02-13
9052.441875000019,2023-02-14
9052.441875000019,2023-02-15
9052.441875000019,2023-02-16
9052.441875000019,2023-02-17
9075.894375000018,2023-02-20
9011.144375000018,2023-02-21
8922.644375000018,2023-02-22
8867.144375000018,2023-02-23
8866.894375000018,2023-02-24
8660.144375000018,2023-02-27
8551.394375000018,2023-02-28
8593.894375000018,2023-03-01
8474.394375000018,2023-03-02
8510.144375000018,2023-03-03
8650.894375000018,2023-03-06
8577.144375000018,2023-03-08
8515.644375000018,2023-03-09
8471.394375000018,2023-03-10
8289.144375000018,2023-03-13
8213.644375000018,2023-03-14
8211.894375000018,2023-03-15
8134.144375000019,2023-03-16
8217.144375000018,2023-03-17
8131.894375000019,2023-03-20
8067.144375000019,2023-03-21
8059.894375000019,2023-03-22
7986.394375000019,2023-03-23
8016.894375000019,2023-03-24
8058.394375000019,2023-03-27
8001.644375000019,2023-03-28
8031.394375000019,2023-03-29
8253.394375000018,2023-03-31
8167.894375000019,2023-04-03
8231.394375000018,2023-04-05
8223.144375000018,2023-04-06
8251.644375000018,2023-04-10
8233.79937500002,2023-04-11
8233.79937500002,2023-04-12
8233.79937500002,2023-04-13
8233.79937500002,2023-04-17
8221.224875000022,2023-04-18
8058.324875000022,2023-04-19
8005.524875000022,2023-04-20
8029.224875000021,2023-04-21
8022.924875000021,2023-04-24
8014.524875000022,2023-04-25
8030.424875000021,2023-04-26
8142.624875000021,2023-04-27
8181.624875000021,2023-04-28
8329.824875000022,2023-05-02
8280.024875000021,2023-05-03
8306.42487500002,2023-05-04
8219.724875000022,2023-05-05
8200.838375000021,2023-05-08
8200.838375000021,2023-05-09
8200.838375000021,2023-05-10
8200.838375000021,2023-05-11
8200.838375000021,2023-05-12
8200.838375000021,2023-05-15
8200.838375000021,2023-05-16
8200.838375000021,2023-05-17
8200.838375000021,2023-05-18
8200.838375000021,2023-05-19
8200.838375000021,2023-05-22
8200.838375000021,2023-05-23
8200.838375000021,2023-05-24
8200.838375000021,2023-05-25
8200.838375000021,2023-05-26
8200.838375000021,2023-05-29
8200.838375000021,2023-05-30
8200.838375000021,2023-05-31
8200.838375000021,2023-06-01
8200.838375000021,2023-06-02
8200.838375000021,2023-06-05
8200.838375000021,2023-06-06
8241.353375000022,2023-06-07
8204.453375000021,2023-06-08
8103.353375000022,2023-06-09
8259.353375000022,2023-06-12
8336.753375000022,2023-06-13
8310.053375000021,2023-06-14
8228.453375000021,2023-06-15
8257.553375000021,2023-06-16
8271.653375000022,2023-06-19
8328.053375000021,2023-06-20
8303.753375000022,2023-06-21
8196.953375000021,2023-06-22
8097.653375000022,2023-06-23
8129.753375000021,2023-06-26
8182.553375000022,2023-06-27
8267.753375000022,2023-06-28
8520.653375000022,2023-06-30
8500.620875000022,2023-07-03
8500.620875000022,2023-07-04
8500.620875000022,2023-07-05
8500.620875000022,2023-07-06
8500.620875000022,2023-07-07
8500.620875000022,2023-07-10
8500.620875000022,2023-07-11
8500.620875000022,2023-07-12
8500.620875000022,2023-07-13
8500.620875000022,2023-07-14
8500.620875000022,2023-07-17
8500.620875000022,2023-07-18
8500.620875000022,2023-07-19
8500.620875000022,2023-07-20
8500.620875000022,2023-07-21
8510.646875000024,2023-07-24
8498.646875000024,2023-07-25
8584.146875000024,2023-07-26
8609.946875000023,2023-07-27
8534.046875000024,2023-07-28
8625.246875000024,2023-07-31
8682.246875000024,2023-08-01
8632.146875000024,2023-08-02
8676.846875000023,2023-08-03
8761.146875000022,2023-08-04
8849.046875000024,2023-08-07
8832.246875000024,2023-08-08
8857.446875000025,2023-08-09
8836.530875000026,2023-08-10
8836.530875000026,2023-08-11
8836.530875000026,2023-08-14
8836.530875000026,2023-08-16
8836.530875000026,2023-08-17
8836.530875000026,2023-08-18
