trade_id,date,symbol,action,quantity,price,transaction_cost,total_value,portfolio_value,position_before,position_after
1,2023-02-27,ADANIENT,Buy,1,1193.5,2.98375,1193.5,10167.366250000001,0,1
2,2023-02-28,ADANIENT,Sell,1,1363.85,3.4096249999999997,1363.85,10163.956625,1,0
3,2023-03-02,ADANIENT,Buy,1,1607.25,4.018125,1607.25,10432.1885,0,1
4,2023-03-09,ADANIENT,Buy,1,1953.15,4.882875,1953.15,10387.055625,1,2
5,2023-03-13,ADANIENT,Sell,1,1874.4,4.686,1874.4,10202.569625000002,2,1
6,2023-03-14,ADANIENT,Buy,1,1738.2,4.3455,1738.2,10399.824125000001,1,2
7,2023-03-15,ADANIENT,Sell,2,1839.0,9.195,3678.0,10390.629125000001,2,0
8,2024-12-10,ADANIENT,Buy,1,2467.2,6.167999999999999,2467.2,10374.511125,0,1
9,2024-12-11,ADANIENT,Sell,1,2457.25,6.143125,2457.25,10368.368000000002,1,0
