actions
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-0.69299555]]
[[-0.1991821]]
[[0.16149664]]
[[0.5177736]]
[[0.87703574]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[0.60405254]]
[[0.19133241]]
[[-0.21994722]]
[[-0.41870382]]
[[-0.6106961]]
[[-0.67941475]]
[[-0.9113217]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-0.5361455]]
[[-0.09730884]]
[[0.38261065]]
[[0.6501109]]
[[0.7700616]]
[[0.6834208]]
[[0.8288551]]
[[0.9957265]]
[[0.516468]]
[[-0.5522628]]
[[-0.89539254]]
[[-0.5161801]]
[[-0.7127238]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-0.4757529]]
[[-0.45988238]]
[[-1.]]
[[-0.06920297]]
[[0.6501661]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[0.8211169]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[1.]]
[[0.55956066]]
[[0.20461048]]
[[0.40334314]]
[[0.59101194]]
[[0.75328225]]
[[0.8719502]]
[[1.]]
[[1.]]
[[0.97536683]]
[[0.7167589]]
[[-0.7929162]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-0.6808085]]
[[-0.7095435]]
[[-0.5117742]]
[[-0.5246806]]
[[-0.40959427]]
[[-0.3196288]]
[[0.2847949]]
[[0.04370631]]
[[0.00535333]]
[[0.0267318]]
[[0.22953573]]
[[-0.01794577]]
[[-0.4595346]]
[[-0.87891626]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-0.96040225]]
[[-0.5673451]]
[[-0.6375614]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-1.]]
[[-0.6106093]]
