account_value,date
10000.0,2020-12-10
10000.0,2020-12-11
10000.0,2020-12-14
10000.0,2020-12-15
10000.0,2020-12-16
10000.0,2020-12-17
10000.0,2020-12-18
10000.0,2020-12-21
10000.0,2020-12-22
10000.0,2020-12-23
10000.0,2020-12-24
10000.0,2020-12-28
10000.0,2020-12-29
10000.0,2020-12-30
10000.0,2020-12-31
10000.0,2021-01-01
10000.0,2021-01-04
10000.0,2021-01-05
10000.0,2021-01-06
9850.11416185975,2021-01-07
9787.531146919751,2021-01-08
9835.67192728975,2021-01-11
10025.82801145975,2021-01-12
10256.90375896975,2021-01-13
10396.51154146975,2021-01-14
10370.738172191575,2021-01-15
10370.738172191575,2021-01-18
10370.738172191575,2021-01-19
10370.738172191575,2021-01-20
10370.738172191575,2021-01-21
10200.596617958801,2021-01-22
10060.9883540188,2021-01-25
10198.1890976788,2021-01-27
10003.2198987088,2021-01-28
9841.9478017288,2021-01-29
10453.335717068801,2021-02-01
10561.652473538801,2021-02-02
10535.391677652402,2021-02-03
10535.391677652402,2021-02-04
10535.391677652402,2021-02-05
10535.391677652402,2021-02-08
10535.391677652402,2021-02-09
10535.391677652402,2021-02-10
10535.391677652402,2021-02-11
10535.391677652402,2021-02-12
10564.583525080152,2021-02-15
10547.733770740151,2021-02-16
10523.663380300151,2021-02-17
10576.618720300152,2021-02-18
10437.009974920153,2021-02-19
10008.557026210152,2021-02-22
10078.361158180152,2021-02-23
10095.210913030152,2021-02-24
10109.652184720151,2021-02-25
9854.507009650151,2021-02-26
10001.335427740152,2021-03-01
10145.757769870152,2021-03-02
10148.165290660152,2021-03-03
10136.130095440152,2021-03-04
10080.768197530151,2021-03-05
10054.290768250152,2021-03-08
10044.662611870152,2021-03-09
9982.079596930153,2021-03-10
9919.496581990152,2021-03-12
9931.531777210152,2021-03-15
10047.070132150153,2021-03-16
10179.457279570152,2021-03-17
10518.848820670151,2021-03-18
10492.654219560553,2021-03-19
10492.654219560553,2021-03-22
10492.654219560553,2021-03-23
10492.654219560553,2021-03-24
10257.252300585327,2021-03-25
10223.552791395326,2021-03-26
10399.267122435327,2021-03-30
10589.423206095327,2021-03-31
10664.041416255328,2021-04-01
10637.557969258378,2021-04-05
10616.383557921079,2021-04-06
10672.83147412108,2021-04-07
10645.83487956108,2021-04-08
10638.47266288108,2021-04-09
10255.611374721078,2021-04-12
10422.499414481079,2021-04-13
10324.32997948108,2021-04-15
10385.685876161078,2021-04-16
10270.337280721078,2021-04-19
10169.713118641079,2021-04-20
10285.06171408108,2021-04-22
10258.066101281078,2021-04-23
10255.611374721078,2021-04-26
10260.519355721079,2021-04-27
10265.42831796108,2021-04-28
10206.52665696108,2021-04-29
10123.083127961077,2021-04-30
10042.092852881078,2021-05-03
9975.828975201079,2021-05-04
10064.18048520108,2021-05-05
10130.445344641079,2021-05-06
10258.066101281078,2021-05-07
10267.882554161079,2021-05-10
10191.80124184108,2021-05-11
10154.987703521077,2021-05-12
10596.75016180108,2021-05-14
10570.70458352288,2021-05-17
10570.70458352288,2021-05-18
10432.034121071581,2021-05-19
10394.022372876083,2021-05-20
10496.581114676083,2021-05-21
10619.151318226082,2021-05-24
10589.133625016082,2021-05-25
10574.12602947608,2021-05-26
10601.640788676083,2021-05-27
10689.19093376608,2021-05-28
10874.297956256083,2021-05-31
10846.444256216082,2021-06-01
10845.936300184158,2021-06-02
10821.851751100008,2021-06-03
10806.559973320007,2021-06-04
10944.185970100007,2021-06-07
11056.325161360008,2021-06-08
10997.707190980009,2021-06-09
10872.381871991509,2021-06-10
