account_value,date
10000.0,2020-12-04
10032.871020981423,2020-12-07
10210.380152011425,2020-12-08
10376.155205411424,2020-12-09
10276.540376581424,2020-12-10
10251.486872652675,2020-12-11
10251.486872652675,2020-12-14
10251.486872652675,2020-12-15
10251.486872652675,2020-12-16
10272.002159608852,2020-12-17
10301.711845328851,2020-12-18
10042.81315505885,2020-12-21
10027.833481558851,2020-12-22
10063.535036788851,2020-12-23
10314.694229138851,2020-12-24
10360.382233258852,2020-12-28
10294.222008688852,2020-12-29
10321.43508215885,2020-12-30
10270.50419225885,2020-12-31
10281.48928615885,2021-01-01
10256.679201924477,2021-01-04
10229.691163959127,2021-01-05
9950.711880915253,2021-01-06
9935.232884965251,2021-01-07
10047.830097385253,2021-01-08
9865.827064415253,2021-01-11
10164.421889515253,2021-01-12
10073.295542335252,2021-01-13
10182.147836435253,2021-01-14
10066.554689205252,2021-01-15
10298.739628565252,2021-01-18
10460.769763535252,2021-01-19
10652.010261885252,2021-01-20
10875.206897745253,2021-01-21
10848.999960205228,2021-01-22
10848.999960205228,2021-01-25
10571.99856142023,2021-01-27
10471.49857006023,2021-01-28
10283.02704178023,2021-01-29
10573.63270762023,2021-02-01
10739.77090462023,2021-02-02
10766.18960158023,2021-02-03
10731.60017362023,2021-02-04
10728.604238860229,2021-02-05
10879.49040478023,2021-02-08
10905.092028580231,2021-02-09
11003.95787362023,2021-02-10
11447.35620922023,2021-02-11
11370.55133782023,2021-02-12
11342.74906380423,2021-02-15
11342.74906380423,2021-02-16
11342.74906380423,2021-02-17
11342.74906380423,2021-02-18
11342.74906380423,2021-02-19
11342.74906380423,2021-02-22
11399.016802895732,2021-02-23
11603.557435535731,2021-02-24
12057.578266175731,2021-02-25
11738.64685473573,2021-02-26
11710.242670202731,2021-03-01
11705.044723498231,2021-03-02
11676.36545768823,2021-03-03
11517.804364191383,2021-03-04
11490.643094122208,2021-03-05
11490.643094122208,2021-03-08
11490.643094122208,2021-03-09
11490.643094122208,2021-03-10
11490.643094122208,2021-03-12
11320.652759415983,2021-03-15
11279.209994645984,2021-03-16
11053.266586075984,2021-03-17
10822.329453605984,2021-03-18
11186.335519655984,2021-03-19
11088.467820165984,2021-03-22
11213.798254405985,2021-03-23
11013.070629505984,2021-03-24
10734.199041235985,2021-03-25
10750.177359635984,2021-03-26
10923.192588505985,2021-03-30
10792.370106605984,2021-03-31
10885.993065925984,2021-04-01
10739.941249355983,2021-04-05
10698.497486005983,2021-04-06
10791.121800535984,2021-04-07
10803.604861675985,2021-04-08
10687.262730935985,2021-04-09
10333.243113885983,2021-04-12
10436.353199755984,2021-04-13
10498.768506005983,2021-04-15
10437.851167105984,2021-04-16
10286.057142305983,2021-04-19
10283.310868885985,2021-04-20
10309.525297455984,2021-04-22
10299.289187175984,2021-04-23
10466.562208035984,2021-04-26
10720.218012635984,2021-04-27
10763.409404505985,2021-04-28
10896.978159825983,2021-04-29
10749.428375905984,2021-04-30
10572.418567325984,2021-05-03
10360.456187355985,2021-05-04
10377.932473105984,2021-05-05
